session_page_id,location_id,shared,dummy_mobile,dummy_desktop,shareability,nugget_pvs,prev_subscribe,prev_share_count,prev_pv_count,prev_sessions,avg_pvs_per_prev_session,delta_created,cur_pv_count
50744857f9de305b0ff47d0cc576c68d,562153f79efda2002a0002c7,shared,1,0,0.026014526,635568,0,0,0,0,0,0,1
e791223b6bde3c721ff7a1841b7eada3,560afe72303437000d520000,no_shared,0,0,0.01345979,224372,0,0,0,0,0,0,1
594f8a50b6ff05db6a41e2dd4c369a60,55c8eb5b3036380027eb0000,no_shared,1,0,0.017727982,7051,0,0,0,0,0,0,1
f653294d5ada49ab8e769eaa6bd73e59,560aaa6533316242b1e20200,shared,1,0,0.017013172,1000754,0,1,2,2,1,741,1
c50b5510a36dd3e22f0c234bb80f485f,55e48d49633461000d270100,shared,1,0,0.015624936,245377,0,0,2,2,1,793,1
ad1507b62f18d5ce8773b0935bf4da6b,5463a9474fa234f33900003b,no_shared,1,0,<null>,902,0,0,0,0,0,0,2
52e9a2cc3a1a224ab1b0e41f4f3d4577,55faf2b662646300250a0500,no_shared,0,1,0.005481533,434550,0,1,99,65,1.523076923,2736,1
b9d12135c02337918e821eda6ab1e63f,560afe72303437000d520000,no_shared,0,1,0.01345979,224372,2,14,205,124,1.653225806,7034,1
23a6e27667b1facc91e4ccac1cb6a157,560cd2a7333638000d850000,shared,1,0,0.013514694,34333,0,0,8,7,1.142857143,2058,1
f8a1671442e74c79701200b81a9ab91c,560aaa6533316242b1e20200,no_shared,1,0,0.017013172,1000754,0,0,0,0,0,0,1
81c6a5fcb47783429af094f32767b470,560b32f43530310019050000,shared,0,1,0.041137887,42078,0,0,1,1,1,96,2
8d4e5ec19558f330b8cac743912fa2b0,55e70a95313433000d790000,shared,1,0,0.012084773,66861,0,0,1,1,1,202,1
2ad3fce313972628c6c3104f91f87071,560aaa6533316242b1e20200,shared,1,0,0.017013172,1000754,0,0,0,0,0,4288,2
46de98ed16bf167b11a9b384c6e3fd0a,53feceeb19cca2d9c5000028,shared,1,0,0.020390939,386250,0,0,0,0,0,0,1
9b682486b25394fde949366b6e0bcca2,560aaa6533316242b1e20200,shared,0,1,0.017013172,1000754,0,0,1,1,1,1697,2
50ee3141b132a8488e8288b7b9c09c00,560e919e03d62b001c0000c1,no_shared,1,0,0.00923034,78762,0,2,135,125,1.08,7509,1
99431a1aeb2a531342cf2029f456aeed,560aaa68393664069e870200,no_shared,1,0,0.009851813,36643,0,1,50,44,1.136363636,6923,1
5ba94bad7bba5218634ec240c7bc21ac,55faf2b662646300250a0500,no_shared,0,1,0.005481533,434550,0,0,26,25,1.04,10076,1
949a7ff7c1effbf430d5b8ee5169bd5b,53feceeb19cca2d9c5000028,no_shared,1,0,0.020390939,386250,0,0,1,1,1,1722,1
046427482fefc229cd7337a0231e5225,54ee16173333330019690000,shared,1,0,0.012990343,140412,0,3,6,6,1,929,1
21b40f17e019937b5c3c9dd52f14facd,560aaa6533316242b1e20200,no_shared,1,0,0.017013172,1000754,0,0,4,4,1,4038,1
8f456a8da7b74b3f0f5e683e5a519904,560c83e462356200190c0000,no_shared,1,0,0.015677988,76668,0,4,218,182,1.197802198,5683,2
908dae909be903962ebfbc9b120a5e4f,55b9141c313833001a670000,no_shared,0,0,0.03915063,9042,0,0,0,0,0,0,1
14e2405f466f3f466215e64c9d6efc99,546378927f3f05c83200001d,shared,0,0,0.014390575,579407,0,0,0,0,0,0,1
17863dd1bdfea880ec7dbfa798fc2855,560a8d59656530000d5e0000,no_shared,0,0,0.022654417,190912,0,0,0,0,0,0,1
0b55db7411dc320638c3227a3cb8190f,53feceeb19cca2d9c5000028,no_shared,1,0,0.020390939,386250,0,0,0,0,0,0,1
cb633b152a4c3b69ad8fd969015c5fe3,560af0106565306771250000,shared,1,0,0.010541416,170091,0,1,24,21,1.142857143,10877,1
c8ae0650292ba35d8017cceb800953a7,55c8eb5b3036380027eb0000,no_shared,0,1,0.017727982,7051,0,0,12,13,0.923076923,2876,1
ac4fb6198a17e37f3abf210790e5468b,55de4a4f396636001aff0100,no_shared,1,0,0.039041649,64444,0,0,2,2,1,600,1
78b24468514e2fd751c7b83274fb3f73,560a8d59656530000d5e0000,shared,1,0,0.022654417,190912,0,0,0,0,0,0,1
0f71d10398d3a94e492c4b83932740ec,5604a851336338000d290200,shared,0,1,0.025159448,25557,0,7,19,9,2.111111111,2154,3
c476a8583c0c072530aded5ae780830a,5605844e3939392566160000,shared,0,1,0.019925499,28456,0,0,25,15,1.666666667,4537,1
6e22066dde906fe6a48d9f4517f08ad9,55f2fa7b6535360029600100,shared,1,0,0.010164236,310894,0,1,31,29,1.068965517,2588,1
a6f4bc8f64a81a9543e5f2569c63d42c,55df20ed38326103fa850000,no_shared,1,0,0.008277538,79009,0,0,1,1,1,182,3
c03414c3a1faa67a4bffd1f4f8f8ebd4,560ec5e1da5e87001f00006d,no_shared,1,0,0.035454288,123765,0,0,0,0,0,0,1
8491df72e83b4031e77e8bafa51c5369,557d9a8f326137002c130000,shared,1,0,0.025723323,192860,0,1,19,18,1.055555556,7700,1
5f57bcc31391afc676b2a4c7ee4e0107,5612bdb5b5bb9b001d000040,no_shared,1,0,0.00687324,690504,0,0,17,17,1,3628,1
f3a3d2291a69de971b9350d126ebd24b,560ed5b8c4a1aa00190000c1,shared,0,1,0.012,3750,0,0,1,1,1,70,1
b47a5307a862f502ab2bacb539fa1bfb,5613c812088a04002b000002,no_shared,0,0,0.0089362,801683,0,0,3,2,1.5,1344,1
ddd88b684fe041527ae72fe2aa796c96,551d749b393937000ced0000,no_shared,1,0,0.007286295,96757,0,8,193,135,1.42962963,4268,4
0ab61cf04d31fa05189b6541e01c28ec,5613c812088a04002b000002,shared,1,0,0.0089362,801683,0,4,319,297,1.074074074,12358,0
c1a94ef9f32f0fd6d08959ce6f8fdcf1,55e48d49633461000d270100,no_shared,1,0,0.015624936,245377,0,0,0,0,0,0,1
68d7f59b3e3871380f399c4e44e5b560,560d5f7c3861310025140400,shared,0,0,0.030665716,161255,0,0,0,0,0,0,2
0a5cbed92133a56ad65848a68b9cc653,5613c812088a04002b000002,shared,1,0,0.0089362,801683,0,0,0,0,0,0,1
3af27fcdfa14b24eef6b5134b6873206,5612a0a44a51e7001f000173,shared,1,0,0.011360283,6778,0,1,13,9,1.444444444,2312,4
cbd6341710d32c58c51c2faa0a51159a,561e56809fa9c10027000049,shared,1,0,0.009914544,316303,0,0,50,42,1.19047619,13056,1
dfd59fb9eb1ea6b1e5c8e62f537b3ce8,55a966fd633236001c370400,shared,0,1,0.018447853,39571,0,0,0,0,0,0,1
070ef8492ea11d2e506bad8b4561d73b,56162cdb355f470027000040,shared,1,0,0.011443643,141039,0,0,14,13,1.076923077,2486,1
1cb9b21e9c0c3a158333c67af8c5a0b0,55a966fd633236001c370400,shared,1,0,0.018447853,39571,0,0,3,2,1.5,536,1
717062c161e5d688a11b3082006d3872,56162cdb355f470027000040,no_shared,1,0,0.011443643,141039,0,0,114,110,1.036363636,6060,1
545df6f3c91623e1cc6fd55df882b157,561faca8d1de0e001b000035,shared,0,1,0.015315186,188571,0,2,13,10,1.3,1171,1
af92730b0c4830da2242b2e81c287bd8,561faca8d1de0e001b000035,shared,0,0,0.015315186,188571,0,13,48,43,1.11627907,3336,2
a520f6d10521a65e717e1a01d336c071,52a89d6099918fbd08005800,shared,1,0,<null>,499,0,0,0,0,0,0,4
